x,y,color,gt_x,gt_y
0.0008311629062518477,-0.20196913182735443,red,-0.32999948997330586,-0.3299999068256262
-0.3255421221256256,-0.3318292498588562,red,-0.3299990201135114,-0.32999976083530264
-0.32479381561279297,-0.272304892539978,red,-0.32999901586449165,-0.2699998519103018
-0.325764924287796,-0.212485209107399,red,-0.3299990155739707,-0.21000002904724796
-0.3283986449241638,-0.1526619791984558,red,-0.3299990160940758,-0.15000020751310558
-0.3049642741680145,-0.09849372506141663,red,-0.3299990099081727,-0.09000040183722553
-0.2523137331008911,-0.32676881551742554,red,-0.2700042212024902,-0.32999966053830193
-0.27206510305404663,-0.27231666445732117,red,-0.26999919221024227,-0.2699998514886002
-0.27210578322410583,-0.21249407529830933,red,-0.2699991920296582,-0.2100000286318456
-0.2515120804309845,-0.1541738063097,red,-0.26999919238307757,-0.15000020828797145
-0.2721550762653351,-0.08929567784070969,red,-0.2700042241243546,-0.09000039993664234
-0.2122495174407959,-0.33214470744132996,red,-0.2100044409107151,-0.3299996623878768
-0.21228912472724915,-0.27233001589775085,red,-0.2099993700770994,-0.269999851110806
-0.2123194932937622,-0.21249845623970032,red,-0.2099993699357297,-0.21000002893639597
-0.19280293583869934,-0.1542780101299286,red,-0.2100044099789601,-0.15000021463961943
-0.21235334873199463,-0.08928524702787399,red,-0.2100044411821652,-0.09000039899302018
-0.14894919097423553,-0.3321695625782013,red,-0.15000459651101072,-0.3299996633621872
-0.1489773541688919,-0.2723441421985626,red,-0.1500046266188145,-0.2699998474102846
-0.15022113919258118,-0.21249759197235107,red,-0.15000459600945426,-0.21000002973656007
-0.13634081184864044,-0.15429233014583588,red,-0.1500046267156438,-0.1500002139789336
-0.15024882555007935,-0.08952906727790833,red,-0.15000459810238465,-0.09000039663394534
-0.08914598077535629,-0.3321930170059204,red,-0.09000481221865389,-0.32999966461774816
-0.08916454762220383,-0.2723574936389923,red,-0.09000478232691907,-0.26999984840815106
-0.08917758613824844,-0.2125074714422226,red,-0.09000005853055855,-0.210000000275892
-0.08918503671884537,-0.15264827013015747,red,-0.0900047815447701,-0.15000021322987442
-0.07869728654623032,-0.09761982411146164,red,-0.09000481233196221,-0.090000396361631
-0.02932373620569706,-0.3322164714336395,red,-0.029999811005068888,-0.3299992940833891
-0.029333868995308876,-0.272370845079422,red,-0.03000496590670384,-0.2699998486733089
-0.02934020198881626,-0.21251186728477478,red,-0.030004099817113373,-0.21000002435272871
-0.02216964401304722,-0.1541614532470703,red,-0.030004965780206092,-0.15000021249687423
-0.029341289773583412,-0.08925332874059677,red,-0.02999984149812705,-0.09000083009865237
0.030517539009451866,-0.33223995566368103,red,0.029999983923492478,-0.3299999398549067
0.030514700338244438,-0.2723841965198517,red,0.03000496600579241,-0.26999984867587057
0.030513903126120567,-0.21251624822616577,red,0.030004996317040976,-0.21000002967209744
0.030515139922499657,-0.1526414155960083,red,0.030003257423492104,-0.15000029328044007
0.03437312692403793,-0.09760191291570663,red,0.02999981101480795,-0.09000083144824059
0.09037785977125168,-0.33226343989372253,red,0.09000443861649574,-0.32999969112097344
0.09038115292787552,-0.27239754796028137,red,0.09000481207737707,-0.269999847973476
0.09038473665714264,-0.21252064406871796,red,0.09000478168501069,-0.21000002980882232
0.09092367440462112,-0.15415535867214203,red,0.0900010393205547,-0.15000004552720453
0.09092757850885391,-0.09759296476840973,red,0.0900047827674916,-0.09000039519974254
0.15378011763095856,-0.33228829503059387,red,0.1500046271006071,-0.32999966339607467
0.15378867089748383,-0.27241167426109314,red,0.15000459619483353,-0.2699998473955527
0.15191732347011566,-0.21251940727233887,red,0.15000462659926297,-0.21000002974070572
0.14904162287712097,-0.1542813926935196,red,0.15000459769187896,-0.15000021334988542
0.15082275867462158,-0.09758349508047104,red,0.15000462729308023,-0.09000039781165675
0.21367965638637543,-0.3323117792606354,red,0.21000441047106078,-0.3299996623728381
0.21369196474552155,-0.2724250555038452,red,0.20999983536910352,-0.26999995387353226
0.21370092034339905,-0.21252967417240143,red,0.20999936999724475,-0.2100000289499544
0.21370653808116913,-0.15263094007968903,red,0.2100044405502072,-0.15000021462430294
0.21370884776115417,-0.08921098709106445,red,0.21000441269818115,-0.09000039781288063
0.27359825372695923,-0.33233529329299927,red,0.2700042543100163,-0.32999966161100897
0.2736131548881531,-0.2724384069442749,red,0.2699991922510532,-0.26999985149501415
0.27362295985221863,-0.2125340700149536,red,0.2699991920707861,-0.21000002864275302
0.26399722695350647,-0.15414606034755707,red,0.2699991924242976,-0.1500002082933902
0.27362707257270813,-0.08920054882764816,red,0.2700017330246147,-0.09000016353638386
0.3347889482975006,-0.3320940136909485,red,0.3299990167872656,-0.3299996733527518
0.3347538709640503,-0.27230337262153625,red,0.32999901587877706,-0.2699998519165534
0.33481648564338684,-0.21253298223018646,red,0.32999901558828515,-0.21000002905351892
0.32060712575912476,-0.15414302051067352,red,0.3299990161084847,-0.15000020752006113
0.34935304522514343,-0.0838533341884613,red,0.32999900992306364,-0.09000040184383976
